Marca temporal,¿Cuál consideras que es tu nivel previo en programación?,¿Has tenido contacto previo con algún lenguaje de programación? (Puedes marcar varios),¿Cuál crees que será tu mayor desafío a la hora de aprender a programar?,Provincia,Localidad:,País:,Ocupación:,¿Trabajas en el campo de la tecnología (IT)?,Edad:,Gustos e Intereses (pueden ser múltiples):,¿Qué tipo de contenido te gustaría ver en futuras clases o actividades?Que temas te interesan para ver en la materia Programación 1. Que Programas te gustaría realizar ?,¿Tienes alguna sugerencia para mejorar el ambiente en clase?,¿Que te parece que se puede hacer para incentivar uso de las camaras en las clases?,Algún libro / video / documento sobre IT que te gustó para recomendar ?,Libros o películas en general para recomendar?,"Pregunta abierta, considera poner lo que quieras.."
28/8/2026 17:43:29,Ninguno (Es mi primera vez viendo código),Ninguno,Aprender la sintaxis y comandos del lenguaje,Buenos Aires,,Argentina,Trabajador tiempo completo,No,25-34 años,Tecnología,"No tengo preferencias, ya que desconozco sobre el tema.","Por ahora todo claro, cuesta pero se entiende","No me parece necesario el uso de las cámaras, ya que uno tiene que ""arreglarse"" y acomodar su entorno para el ángulo de la cámara, y con el poco tiempo que tenemos en el día, no hay tiempo para esas cosas, ejemplo, estoy estudiando sin remera porque tengo calor, y no quiero prender la cámara, porque me vería obligado a ponerme remera para estar ""presentable"", o ayer lavé ropa, se nubló y entré el tender, y justo atrás mío en la toma de la cámara sale el tender con toda la ropa y no me parece bueno. El que tenga ganas de prenderla, que la prenda.",,"Peli por afano Interestelar, saga favorita, la trilogía de Back to the future.",
31/8/2026 7:16:27,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)",C / C++,Hacerme el tiempo para practicar,Buenos Aires,La Matanza,Argentina,Trabajador tiempo completo,Sí,35-44 años,"Lectura, Tecnología, Viajes, Arte","Al ser nuevo en programación, no tengo claro cual es el alcance de la materia, Los ejercicios grupales que vimos en la 3ra clase estuvieron buenos porque nos obligaron a pensar como encararlos, eso siempre es interesante.","La verdad es que es todo muy didáctico y la onda que le pone es increíble, varios de los docentes que tuve podrían aprender de su vocación por la enseñanza.","La verdad es que contra eso no creo que pueda hacer demasiado, no es una cuestión del docente, al no ser obligatorio a lo largo de la carrera, cualquier cosa que sea disruptiva cuesta incorporarla. ",,,Gracias por ponerle pasión y ganas a que nos interese la programación!!!
31/8/2026 16:27:49,Ninguno (Es mi primera vez viendo código),Ninguno,Hacerme el tiempo para practicar,Buenos Aires,CABA,Argentina,"Estudiante, Trabajador tiempo completo, Padre de familia",No,35-44 años,"Tecnología, Música, Arte, Fanático y vicioso de los video juegos desde muy pequeño, ya sin tiempo para dedicarle al hobby.",Automatización de tareas.,"El profesor hace que la clase sea muy amena, y de esta manera se puede prestar más atención y resulta más interesante. En definitiva, es una clase en la que uno siente que QUIERE estar ahí. Mis felicitaciones! No cualquiera logra eso.","Me tendría que mudar a la luna, donde mis hijos no quieran mi atención a cada rato (mi esposa no está por la tarde y tengo a mis hijos encima durante toda la clase).",https://www.youtube.com/watch?v=mUaCLzbDgm0,Happy Death Day 1 y 2. Son una vuelta de tuerca muy buena para el género slasher.,Hace poco más de un año descubrí la realidad virtual. ME VOLÓ LA CABEZA.
3/9/2026 19:20:00,Avanzado (Ya programo con fluidez y entiendo lógica compleja),"Python, JavaScript, PHP, Java, HTML / CSS (Desarrollo Web), C#",Arquitectura y eficiencia ,From CTC at BSAS,Capital,Argentina,"Estudiante, Desempleado/a",Sí,25-34 años,"Tecnología, Música, Viajes, Videojuegos-Ecologia",Algo para gestionar apis o agentes de ia ,Me gusta la dinamica ,Proponerlo durante un periodo de 15-20 minutos así nos conocemos. O hacerlo durante un ejercicio. ,-,-,Podría hacer una pequeña presentación de unity :)
3/9/2026 19:24:40,Avanzado (Ya programo con fluidez y entiendo lógica compleja),"JavaScript, Java, HTML / CSS (Desarrollo Web)",Hacerme el tiempo para practicar,Tucuman,,,Trabajador tiempo completo,Sí,25-34 años,"Deportes, Tecnología",consulta a apis de modelos de IA,,,,,
3/9/2026 19:28:59,Intermedio (He hecho pequeños programas o scripts antes que funcionan),"Python, HTML / CSS (Desarrollo Web)",Hacerme el tiempo para practicar,Buenos Aires,Lanus,Argentina,"Estudiante, Trabajador tiempo completo",No,25-34 años,"Deportes, Tecnología, Viajes, Videojuegos",Algo relacionado al Gaming me gustaría pero no se si es relacionable,No,Alguna consideración para el parcial,,Serie: Game of thrones,
3/9/2026 19:30:36,Ninguno (Es mi primera vez viendo código),Ninguno,Aprender la sintaxis y comandos del lenguaje,Buenos Aires,Monte Grande,argentina,Trabajador tiempo completo,No,25-34 años,"Deportes, Tecnología, anime",,,,,Matrix,"Hola, profe. Quería consultarle si existe la posibilidad de realizar la exposición de manera individual. Se me está complicando bastante organizarme para trabajar en grupo porque estoy trabajando y, por mis horarios, no tengo mucho tiempo disponible para coordinar con mis compañeros.

Por eso, si es posible, preferiría hacer el trabajo y la exposición de forma individual. Desde ya, muchas gracias por comprender."
3/9/2026 19:31:01,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)",Python,Hacerme el tiempo para practicar,Buenos Aires,Castelar,Argentina,Trabajador tiempo completo,Sí,45-54 años,"Deportes, Tecnología, Música, Viajes","Me interesa principalmente el scripting, que es lo que más utilizo",La clase es muy buena,"Si no se enciende la cámara, se bajan 2 puntos del parcial ;)","Me parece muy interesante el contenido que sube ""El Pelado Nerd""",Thrillers,La clase es muy buena y explicas muy bien. Gracias por la buena onda!
3/9/2026 19:32:03,Ninguno (Es mi primera vez viendo código),Ninguno,Aprender la sintaxis y comandos del lenguaje,Cordoba ,Villa General Belgrano,Argentina,Trabajador medio tiempo,No,18-24 años,"Música, Juegos de pc, coleccionismo",,,"Yo personalmente no prendo camara por un tema de orden y prolijidad mia, ya que los horarios de clases me dan cuando vuelvo del trabajo y no tengo los mejores animos tampoco jaja. Tomando de ejemplo mi situacion, no se me ocurre alguna manera/incentivo ",,"Interestelar, peliculon que vale cada minuto - La saga de jurassic park y world, mi universo favorito","No es pregunta, solo queria comentar que estoy muy contento con sus clases, me parecen muy entretenidas y a pesar de que estoy actualmente de viaje y no puedo practicar tanto, me divierte mucho este primer contacto con la programacion que estoy teniendo!"
3/9/2026 19:33:30,Intermedio (He hecho pequeños programas o scripts antes que funcionan),"PHP, C / C++, Batch y Powershell",Hacerme el tiempo para practicar,Neuquen,Neuquen capital,Argentina,Trabajador tiempo completo,Sí,25-34 años,"Lectura, Deportes, Tecnología",Crear alguna herramienta de soporte tecnico muy uitl: desplegar software en Windows,,,https://www.udemy.com/,,
